id,content_type,title_ru,title_original,status,reaction,year,creators,participants,genres,duration_minutes,external_rating,external_rating_source,external_id,source,url,location,metadata_json,notes,added_at,consumed_at
movie-033,movie,Человек-паук: Нет пути домой,Spider-Man: No Way Home,consumed,,2021,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-034,movie,Анатомия падения,Anatomy of a Fall,consumed,,2023,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-035,movie,Зона интересов,The Zone of Interest,consumed,,2023,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-036,movie,Субстанция,The Substance,consumed,,2024,,,,,,,,already_watched.md,,,"{""migrated_from"":""already_watched.md""}",,2026-08-16,2026-08-16
movie-037,movie,Взвод,Platoon,consumed,,1986,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",,2026-08-16,2026-08-16T19:46:04+00:00
movie-038,movie,Всё везде и сразу,Everything Everywhere All at Once,backlog,,2022,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",Merged duplicate RU/EN entries from lib_list_2.md,2026-08-16,
movie-039,movie,Чужие,Aliens,backlog,,1986,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",James Cameron section,2026-08-16,
movie-040,movie,Бездна,The Abyss,backlog,,1989,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",James Cameron section,2026-08-16,
movie-041,movie,Робокоп,RoboCop,backlog,,1987,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",,2026-08-16,
movie-042,movie,Общество мёртвых поэтов,Dead Poets Society,backlog,,1989,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",Legacy typo normalized,2026-08-16,
movie-043,movie,Изгоняющий дьявола,The Exorcist,backlog,,1973,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",,2026-08-16,
movie-044,movie,Ансельм. Шум времени,Anselm,backlog,,2023,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",,2026-08-16,
movie-045,movie,Соль Земли,The Salt of the Earth,backlog,,2014,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",,2026-08-16,
movie-046,movie,Падение империи,Civil War,backlog,,2024,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",,2026-08-16,
movie-047,movie,Камон Камон,C'mon C'mon,backlog,,2021,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",,2026-08-16,
movie-048,movie,Аллея кошмаров,Nightmare Alley,backlog,,2021,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",,2026-08-16,
movie-049,movie,Раскопки,The Dig,backlog,,2021,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",,2026-08-16,
movie-050,movie,Солнце моё,Aftersun,backlog,,2022,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",,2026-08-16,
movie-051,movie,"Май, декабрь",May December,backlog,,2023,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",,2026-08-16,
movie-052,movie,Мгла,The Mist,backlog,,2007,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",,2026-08-16,
movie-053,movie,Остров доктора Моро,The Island of Dr. Moreau,backlog,,,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",Version/year was not specified in the legacy note,2026-08-16,
movie-054,movie,Чунгкинский экспресс,Chungking Express,backlog,,1994,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",,2026-08-16,
movie-055,movie,Головокружение,Vertigo,backlog,,1958,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",Alfred Hitchcock,2026-08-16,
movie-056,movie,Древо жизни,The Tree of Life,backlog,,2011,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",,2026-08-16,
movie-057,movie,Клык,Dogtooth,backlog,,2009,,,,,,,,lib_list_2.md,,,"{""migrated_from"":""lib_list_2.md""}",Yorgos Lanthimos,2026-08-16,
